words,score
erika,13.5
ikame,13.3
kaime,13.3
akemi,13.3
imale,13.100000000000001
ameli,13.100000000000001
maile,13.100000000000001
marke,13.099999999999998
krema,13.099999999999998
kamer,13.099999999999998
merak,13.099999999999998
kalem,13.0
ikram,13.0
trake,13.0
emlak,13.0
marki,13.0
erkli,13.0
raket,13.0
teali,13.0
kelam,13.0
rekat,13.0
kiler,13.0
kemal,13.0
katre,13.0
erlik,13.0
malik,12.900000000000002
ikmal,12.900000000000002
ketal,12.900000000000002
erkan,12.9
klima,12.9
irkme,12.9
aleni,12.9
kamil,12.9
ekran,12.9
kenar,12.9
karne,12.9
kerim,12.899999999999999
rakit,12.899999999999999
tarik,12.899999999999999
emtia,12.899999999999999
ilmek,12.8
terki,12.8
talik,12.8
isale,12.8
tekir,12.8
maket,12.8
asker,12.8
katil,12.8
kitre,12.8
kerti,12.8
melik,12.8
imlek,12.8
emlik,12.8
kamet,12.8
serak,12.8
karni,12.799999999999999
anemi,12.799999999999999
aklen,12.799999999999999
anime,12.799999999999999
inkar,12.799999999999999
erkin,12.700000000000001
semai,12.7
takim,12.7
mesai,12.7
nakli,12.7
kitle,12.7
lakin,12.7
remil,12.7
tamik,12.7
tekli,12.7
tikel,12.7
etlik,12.7
tekil,12.7
nakil,12.7
rimel,12.7
keman,12.699999999999998
mekan,12.699999999999998
salik,12.600000000000001
kesir,12.600000000000001
laski,12.600000000000001
itmek,12.600000000000001
metal,12.600000000000001
sakil,12.600000000000001
tamir,12.6
litre,12.6
sirke,12.6
tirle,12.6
esrik,12.6
serik,12.6
liken,12.6
imkan,12.6
nikel,12.6
terli,12.6
anket,12.6
liret,12.6
mirat,12.6
kasem,12.599999999999998
maske,12.599999999999998
irsal,12.5
talim,12.5
imsak,12.5
antre,12.5
kesat,12.5
kaset,12.5
inmek,12.5
maksi,12.5
misak,12.5
eskil,12.5
terim,12.5
sekil,12.5
sakim,12.5
milat,12.5
nakit,12.499999999999998
intak,12.499999999999998
malen,12.499999999999998
antik,12.499999999999998
sikme,12.400000000000002
etkin,12.4
imren,12.4
liman,12.4
tiran,12.4
lanet,12.4
etnik,12.4
tekin,12.4
azeri,12.4
teras,12.4
ermin,12.4
metil,12.399999999999999
astik,12.399999999999999
melas,12.399999999999999
kesim,12.399999999999999
muare,12.399999999999999
taksi,12.399999999999999
selam,12.399999999999999
elmas,12.399999999999999
miras,12.399999999999999
emsal,12.399999999999999
kasti,12.399999999999999
kimse,12.399999999999999
sakit,12.399999999999999
misal,12.3
istek,12.3
setik,12.3
serim,12.3
alize,12.3
altes,12.3
ulema,12.3
ensar,12.3
tiner,12.3
milas,12.3
kaide,12.3
erzak,12.3
islam,12.3
izale,12.3
salim,12.3
akide,12.3
resmi,12.3
resim,12.3
kesit,12.3
satir,12.3
sakin,12.299999999999999
nemli,12.299999999999999
iskan,12.299999999999999
latin,12.299999999999999
kural,12.299999999999999
sanki,12.299999999999999
metan,12.299999999999999
karlı,12.200000000000001
arsin,12.200000000000001
lanse,12.200000000000001
aslen,12.200000000000001
nasir,12.200000000000001
kesin,12.200000000000001
eksin,12.200000000000001
nitel,12.2
temas,12.2
setir,12.2
ikraz,12.2
daire,12.2
karye,12.2
ister,12.2
lemis,12.2
misel,12.2
karst,12.2
sinek,12.2
tesri,12.2
linet,12.2
irade,12.2
kurma,12.2
kuram,12.2
manti,12.2
eküri,12.2
idare,12.2
selim,12.2
kumar,12.2
telin,12.2
tesir,12.2
oleik,12.2
kiraz,12.2
silme,12.2
liste,12.100000000000001
rekiz,12.100000000000001
telsi,12.100000000000001
keriz,12.100000000000001
kader,12.100000000000001
imalı,12.100000000000001
dekar,12.100000000000001
telis,12.100000000000001
ideal,12.100000000000001
suare,12.1
lezar,12.1
kırma,12.1
lazer,12.1
makul,12.1
nesir,12.1
metin,12.1
senir,12.1
rakım,12.1
siren,12.1
serin,12.1
usare,12.1
ırmak,12.1
kumla,12.1
seman,12.1
nimet,12.1
lisan,12.1
ibare,12.1
koral,12.1
irsen,12.1
temin,12.1
sanem,12.1
ümera,12.099999999999998
mürai,12.0
ezani,12.0
marul,12.0
kırat,12.0
idame,12.0
kılma,12.0
karun,12.0
alkım,12.0
katır,12.0
mezra,12.0
ismet,12.0
izlek,12.0
istem,12.0
metis,12.0
komar,12.0
zekat,12.0
nesil,12.0
sinle,12.0
saten,12.0
emraz,12.0
kadir,12.0
mezar,12.0
bekar,12.0
arkıt,12.0
rakun,12.0
kuran,12.0
kurna,12.0
idrak,12.0
kalım,12.0
artık,12.0
makro,12.0
sitem,12.0
tırak,12.0
kayme,12.0
ikona,11.999999999999998
altık,11.900000000000002
kıtal,11.900000000000002
ıtlak,11.900000000000002
emzik,11.900000000000002
tedai,11.900000000000002
yekta,11.900000000000002
haile,11.900000000000002
kalıt,11.900000000000002
ladik,11.900000000000002
katlı,11.900000000000002
ilahe,11.900000000000002
ihale,11.900000000000002
lokma,11.9
kibar,11.9
kabir,11.9
tasni,11.9
isnat,11.9
teori,11.9
nesim,11.9
kimya,11.9
karın,11.9
direk,11.9
olmak,11.9
sinme,11.9
derik,11.9
enkaz,11.9
kıran,11.9
ismen,11.9
enayi,11.9
bakir,11.9
akort,11.899999999999999
kotra,11.899999999999999
maktu,11.899999999999999
ülker,11.899999999999999
zamir,11.899999999999999
mirza,11.899999999999999
mariz,11.899999999999999
üremi,11.899999999999999
krome,11.899999999999999
kadem,11.899999999999999
kirde,11.899999999999999
utmak,11.899999999999999
ortak,11.899999999999999
rezil,11.899999999999999
riyal,11.899999999999999
şaire,11.899999999999999
torak,11.899999999999999
kredi,11.899999999999999
kebir,11.8
ikbal,11.8
helak,11.8
medar,11.8
kabil,11.8
dikel,11.8
ıltar,11.8
rulet,11.8
sarık,11.8
runik,11.8
ketum,11.8
murat,11.8
ürkme,11.8
atmık,11.8
ipeka,11.8
üsera,11.8
remiz,11.8
dilek,11.8
miyar,11.8
elhak,11.8
moral,11.8
yerli,11.8
delik,11.8
ikrah,11.8
eroin,11.8
kasır,11.8
armut,11.8
tıkma,11.8
kalın,11.8
zalim,11.8
bekri,11.8
ilzam,11.8
korte,11.8
rüesa,11.8
tariz,11.8
anüri,11.8
takım,11.8
katım,11.8
madik,11.8
hakir,11.8
kahir,11.8
ibate,11.8
mader,11.8
otlak,11.8
ikdam,11.8
anlık,11.8
roket,11.8
kanlı,11.8
mikro,11.8
kalbi,11.8
nokra,11.799999999999999
kadim,11.799999999999999
kenya,11.799999999999999
sulak,11.799999999999999
anide,11.799999999999999
tenis,11.799999999999999
senit,11.799999999999999
nazik,11.799999999999999
kuman,11.799999999999999
korna,11.799999999999999
kaslı,11.700000000000001
salık,11.700000000000001
trans,11.700000000000001
asklı,11.700000000000001
natuk,11.700000000000001
nazir,11.700000000000001
ıslak,11.700000000000001
saklı,11.700000000000001
dekan,11.700000000000001
aslık,11.700000000000001
kutan,11.700000000000001
